Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
alc_hliq_drinks_d30,alcohol,,text,Drinks of hard liquor used (1 unit = .5oz shot) - d030,,,,,,,,,,,,,
alc_other_names_d30,alcohol,,text,Names of other alcohol used - d30,,,,,,,,,,,,,
alc_other_drinks_d30,alcohol,,text,Drinks of other alcohol used - d30,,,,,,,,,,,,,
pid_tob,nicotine,,text,PID is the five digit pin + entry date + random number,,,,,,y,,,,,,,
five_digit_tob,nicotine,,text,Participant 5 digit pin,,,,,,y,,,,,,,
cohort_tob,nicotine,,text,Cohort,,,,,,,,,,,,,
tob_cigtts_amt_d01,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d01,,,number,,,,,,,,,,
tob_ecigs_amt_d01,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d01,,,number,,,,,,,,,,
tob_chew_amt_d01,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d01,,,number,,,,,,,,,,
tob_cigars_amt_d01,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d01,,,number,,,,,,,,,,
tob_hookah_amt_d01,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d01,,,number,,,,,,,,,,
tob_other_names_d01,nicotine,,text,Names other tobacco used - d01,,,,,,,,,,,,,
tob_other_amt_d01,nicotine,,text,Amount of other tobacco used - d01,,,number,,,,,,,,,,
tob_cigtts_amt_d02,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d02,,,number,,,,,,,,,,
tob_ecigs_amt_d02,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d02,,,number,,,,,,,,,,
tob_chew_amt_d02,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d02,,,number,,,,,,,,,,
tob_cigars_amt_d02,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d02,,,number,,,,,,,,,,
tob_hookah_amt_d02,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d02,,,number,,,,,,,,,,
tob_other_names_d02,nicotine,,text,Names other tobacco used - d02,,,,,,,,,,,,,
tob_other_amt_d02,nicotine,,text,Amount of other tobacco used - d02,,,number,,,,,,,,,,
tob_cigtts_amt_d03,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d03,,,number,,,,,,,,,,
tob_ecigs_amt_d03,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d03,,,number,,,,,,,,,,
tob_chew_amt_d03,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d03,,,number,,,,,,,,,,
tob_cigars_amt_d03,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d03,,,number,,,,,,,,,,
tob_hookah_amt_d03,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d03,,,number,,,,,,,,,,
tob_other_names_d03,nicotine,,text,Names other tobacco used - d03,,,,,,,,,,,,,
tob_other_amt_d03,nicotine,,text,Amount of other tobacco used - d03,,,number,,,,,,,,,,
tob_cigtts_amt_d04,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d04,,,number,,,,,,,,,,
tob_ecigs_amt_d04,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d04,,,number,,,,,,,,,,
tob_chew_amt_d04,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d04,,,number,,,,,,,,,,
tob_cigars_amt_d04,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d04,,,number,,,,,,,,,,
tob_hookah_amt_d04,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d04,,,number,,,,,,,,,,
tob_other_names_d04,nicotine,,text,Names other tobacco used - d04,,,,,,,,,,,,,
tob_other_amt_d04,nicotine,,text,Amount of other tobacco used - d04,,,number,,,,,,,,,,
tob_cigtts_amt_d05,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d05,,,number,,,,,,,,,,
tob_ecigs_amt_d05,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d05,,,number,,,,,,,,,,
tob_chew_amt_d05,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d05,,,number,,,,,,,,,,
tob_cigars_amt_d05,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d05,,,number,,,,,,,,,,
tob_hookah_amt_d05,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d05,,,number,,,,,,,,,,
tob_other_names_d05,nicotine,,text,Names other tobacco used - d05,,,,,,,,,,,,,
tob_other_amt_d05,nicotine,,text,Amount of other tobacco used - d05,,,number,,,,,,,,,,
tob_cigtts_amt_d06,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d06,,,number,,,,,,,,,,
tob_ecigs_amt_d06,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d06,,,number,,,,,,,,,,
tob_chew_amt_d06,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d06,,,number,,,,,,,,,,
tob_cigars_amt_d06,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d06,,,number,,,,,,,,,,
tob_hookah_amt_d06,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d06,,,number,,,,,,,,,,
tob_other_names_d06,nicotine,,text,Names other tobacco used - d06,,,,,,,,,,,,,
tob_other_amt_d06,nicotine,,text,Amount of other tobacco used - d06,,,number,,,,,,,,,,
tob_cigtts_amt_d07,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d07,,,number,,,,,,,,,,
tob_ecigs_amt_d07,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d07,,,number,,,,,,,,,,
tob_chew_amt_d07,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d07,,,number,,,,,,,,,,
tob_cigars_amt_d07,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d07,,,number,,,,,,,,,,
tob_hookah_amt_d07,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d07,,,number,,,,,,,,,,
tob_other_names_d07,nicotine,,text,Names other tobacco used - d07,,,,,,,,,,,,,
tob_other_amt_d07,nicotine,,text,Amount of other tobacco used - d07,,,number,,,,,,,,,,
tob_cigtts_amt_d08,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d08,,,number,,,,,,,,,,
tob_ecigs_amt_d08,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d08,,,number,,,,,,,,,,
tob_chew_amt_d08,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d08,,,number,,,,,,,,,,
tob_cigars_amt_d08,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d08,,,number,,,,,,,,,,
tob_hookah_amt_d08,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d08,,,number,,,,,,,,,,
tob_other_names_d08,nicotine,,text,Names other tobacco used - d08,,,,,,,,,,,,,
tob_other_amt_d08,nicotine,,text,Amount of other tobacco used - d08,,,number,,,,,,,,,,
tob_cigtts_amt_d09,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d09,,,number,,,,,,,,,,
tob_ecigs_amt_d09,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d09,,,number,,,,,,,,,,
tob_chew_amt_d09,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d09,,,number,,,,,,,,,,
tob_cigars_amt_d09,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d09,,,number,,,,,,,,,,
tob_hookah_amt_d09,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d09,,,number,,,,,,,,,,
tob_other_names_d09,nicotine,,text,Names other tobacco used - d09,,,,,,,,,,,,,
tob_other_amt_d09,nicotine,,text,Amount of other tobacco used - d09,,,number,,,,,,,,,,
tob_cigtts_amt_d10,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d10,,,number,,,,,,,,,,
tob_ecigs_amt_d10,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d10,,,number,,,,,,,,,,
tob_chew_amt_d10,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d10,,,number,,,,,,,,,,
tob_cigars_amt_d10,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d10,,,number,,,,,,,,,,
tob_hookah_amt_d10,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d10,,,number,,,,,,,,,,
tob_other_names_d10,nicotine,,text,Names other tobacco used - d10,,,,,,,,,,,,,
tob_other_amt_d10,nicotine,,text,Amount of other tobacco used - d10,,,number,,,,,,,,,,
tob_cigtts_amt_d11,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d11,,,number,,,,,,,,,,
tob_ecigs_amt_d11,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d11,,,number,,,,,,,,,,
tob_chew_amt_d11,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d11,,,number,,,,,,,,,,
tob_cigars_amt_d11,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d11,,,number,,,,,,,,,,
tob_hookah_amt_d11,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d11,,,number,,,,,,,,,,
tob_other_names_d11,nicotine,,text,Names other tobacco used - d11,,,,,,,,,,,,,
tob_other_amt_d11,nicotine,,text,Amount of other tobacco used - d11,,,number,,,,,,,,,,
tob_cigtts_amt_d12,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d12,,,number,,,,,,,,,,
tob_ecigs_amt_d12,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d12,,,number,,,,,,,,,,
tob_chew_amt_d12,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d12,,,number,,,,,,,,,,
tob_cigars_amt_d12,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d12,,,number,,,,,,,,,,
tob_hookah_amt_d12,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d12,,,number,,,,,,,,,,
tob_other_names_d12,nicotine,,text,Names other tobacco used - d12,,,,,,,,,,,,,
tob_other_amt_d12,nicotine,,text,Amount of other tobacco used - d12,,,number,,,,,,,,,,
tob_cigtts_amt_d13,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d13,,,number,,,,,,,,,,
tob_ecigs_amt_d13,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d13,,,number,,,,,,,,,,
tob_chew_amt_d13,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d13,,,number,,,,,,,,,,
tob_cigars_amt_d13,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d13,,,number,,,,,,,,,,
tob_hookah_amt_d13,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d13,,,number,,,,,,,,,,
tob_other_names_d13,nicotine,,text,Names other tobacco used - d13,,,,,,,,,,,,,
tob_other_amt_d13,nicotine,,text,Amount of other tobacco used - d13,,,number,,,,,,,,,,
tob_cigtts_amt_d14,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d14,,,number,,,,,,,,,,
tob_ecigs_amt_d14,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d14,,,number,,,,,,,,,,
tob_chew_amt_d14,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d14,,,number,,,,,,,,,,
tob_cigars_amt_d14,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d14,,,number,,,,,,,,,,
tob_hookah_amt_d14,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d14,,,number,,,,,,,,,,
tob_other_names_d14,nicotine,,text,Names other tobacco used - d14,,,,,,,,,,,,,
tob_other_amt_d14,nicotine,,text,Amount of other tobacco used - d14,,,number,,,,,,,,,,
tob_cigtts_amt_d15,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d15,,,number,,,,,,,,,,
tob_ecigs_amt_d15,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d15,,,number,,,,,,,,,,
tob_chew_amt_d15,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d15,,,number,,,,,,,,,,
tob_cigars_amt_d15,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d15,,,number,,,,,,,,,,
tob_hookah_amt_d15,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d15,,,number,,,,,,,,,,
tob_other_names_d15,nicotine,,text,Names other tobacco used - d15,,,,,,,,,,,,,
tob_other_amt_d15,nicotine,,text,Amount of other tobacco used - d15,,,number,,,,,,,,,,
tob_cigtts_amt_d16,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d16,,,number,,,,,,,,,,
tob_ecigs_amt_d16,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d16,,,number,,,,,,,,,,
tob_chew_amt_d16,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d16,,,number,,,,,,,,,,
tob_cigars_amt_d16,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d16,,,number,,,,,,,,,,
tob_hookah_amt_d16,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d16,,,number,,,,,,,,,,
tob_other_names_d16,nicotine,,text,Names other tobacco used - d16,,,,,,,,,,,,,
tob_other_amt_d16,nicotine,,text,Amount of other tobacco used - d16,,,number,,,,,,,,,,
tob_cigtts_amt_d17,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d17,,,number,,,,,,,,,,
tob_ecigs_amt_d17,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d17,,,number,,,,,,,,,,
tob_chew_amt_d17,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d17,,,number,,,,,,,,,,
tob_cigars_amt_d17,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d17,,,number,,,,,,,,,,
tob_hookah_amt_d17,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d17,,,number,,,,,,,,,,
tob_other_names_d17,nicotine,,text,Names other tobacco used - d17,,,,,,,,,,,,,
tob_other_amt_d17,nicotine,,text,Amount of other tobacco used - d17,,,number,,,,,,,,,,
tob_cigtts_amt_d18,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d18,,,number,,,,,,,,,,
tob_ecigs_amt_d18,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d18,,,number,,,,,,,,,,
tob_chew_amt_d18,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d18,,,number,,,,,,,,,,
tob_cigars_amt_d18,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d18,,,number,,,,,,,,,,
tob_hookah_amt_d18,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d18,,,number,,,,,,,,,,
tob_other_names_d18,nicotine,,text,Names other tobacco used - d18,,,,,,,,,,,,,
tob_other_amt_d18,nicotine,,text,Amount of other tobacco used - d18,,,number,,,,,,,,,,
tob_cigtts_amt_d19,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d19,,,number,,,,,,,,,,
tob_ecigs_amt_d19,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d19,,,number,,,,,,,,,,
tob_chew_amt_d19,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d19,,,number,,,,,,,,,,
tob_cigars_amt_d19,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d19,,,number,,,,,,,,,,
tob_hookah_amt_d19,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d19,,,number,,,,,,,,,,
tob_other_names_d19,nicotine,,text,Names other tobacco used - d19,,,,,,,,,,,,,
tob_other_amt_d19,nicotine,,text,Amount of other tobacco used - d19,,,number,,,,,,,,,,
tob_cigtts_amt_d20,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d20,,,number,,,,,,,,,,
tob_ecigs_amt_d20,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d20,,,number,,,,,,,,,,
tob_chew_amt_d20,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d20,,,number,,,,,,,,,,
tob_cigars_amt_d20,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d20,,,number,,,,,,,,,,
tob_hookah_amt_d20,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d20,,,number,,,,,,,,,,
tob_other_names_d20,nicotine,,text,Names other tobacco used - d20,,,,,,,,,,,,,
tob_other_amt_d20,nicotine,,text,Amount of other tobacco used - d20,,,number,,,,,,,,,,
tob_cigtts_amt_d21,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d21,,,number,,,,,,,,,,
tob_ecigs_amt_d21,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d21,,,number,,,,,,,,,,
tob_chew_amt_d21,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d21,,,number,,,,,,,,,,
tob_cigars_amt_d21,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d21,,,number,,,,,,,,,,
tob_hookah_amt_d21,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d21,,,number,,,,,,,,,,
tob_other_names_d21,nicotine,,text,Names other tobacco used - d21,,,,,,,,,,,,,
tob_other_amt_d21,nicotine,,text,Amount of other tobacco used - d21,,,number,,,,,,,,,,
tob_cigtts_amt_d22,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d22,,,number,,,,,,,,,,
tob_ecigs_amt_d22,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d22,,,number,,,,,,,,,,
tob_chew_amt_d22,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d22,,,number,,,,,,,,,,
tob_cigars_amt_d22,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d22,,,number,,,,,,,,,,
tob_hookah_amt_d22,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d22,,,number,,,,,,,,,,
tob_other_names_d22,nicotine,,text,Names other tobacco used - d22,,,,,,,,,,,,,
tob_other_amt_d22,nicotine,,text,Amount of other tobacco used - d22,,,number,,,,,,,,,,
tob_cigtts_amt_d23,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d23,,,number,,,,,,,,,,
tob_ecigs_amt_d23,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d23,,,number,,,,,,,,,,
tob_chew_amt_d23,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d23,,,number,,,,,,,,,,
tob_cigars_amt_d23,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d23,,,number,,,,,,,,,,
tob_hookah_amt_d23,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d23,,,number,,,,,,,,,,
tob_other_names_d23,nicotine,,text,Names other tobacco used - d23,,,,,,,,,,,,,
tob_other_amt_d23,nicotine,,text,Amount of other tobacco used - d23,,,number,,,,,,,,,,
tob_cigtts_amt_d24,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d24,,,number,,,,,,,,,,
tob_ecigs_amt_d24,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d24,,,number,,,,,,,,,,
tob_chew_amt_d24,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d24,,,number,,,,,,,,,,
tob_cigars_amt_d24,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d24,,,number,,,,,,,,,,
tob_hookah_amt_d24,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d24,,,number,,,,,,,,,,
tob_other_names_d24,nicotine,,text,Names other tobacco used - d24,,,,,,,,,,,,,
tob_other_amt_d24,nicotine,,text,Amount of other tobacco used - d24,,,number,,,,,,,,,,
tob_cigtts_amt_d25,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d25,,,number,,,,,,,,,,
tob_ecigs_amt_d25,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d25,,,number,,,,,,,,,,
tob_chew_amt_d25,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d25,,,number,,,,,,,,,,
tob_cigars_amt_d25,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d25,,,number,,,,,,,,,,
tob_hookah_amt_d25,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d25,,,number,,,,,,,,,,
tob_other_names_d25,nicotine,,text,Names other tobacco used - d25,,,,,,,,,,,,,
tob_other_amt_d25,nicotine,,text,Amount of other tobacco used - d25,,,number,,,,,,,,,,
tob_cigtts_amt_d26,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d26,,,number,,,,,,,,,,
tob_ecigs_amt_d26,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d26,,,number,,,,,,,,,,
tob_chew_amt_d26,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d26,,,number,,,,,,,,,,
tob_cigars_amt_d26,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d26,,,number,,,,,,,,,,
tob_hookah_amt_d26,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d26,,,number,,,,,,,,,,
tob_other_names_d26,nicotine,,text,Names other tobacco used - d26,,,,,,,,,,,,,
tob_other_amt_d26,nicotine,,text,Amount of other tobacco used - d26,,,number,,,,,,,,,,
tob_cigtts_amt_d27,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d27,,,number,,,,,,,,,,
tob_ecigs_amt_d27,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d27,,,number,,,,,,,,,,
tob_chew_amt_d27,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d27,,,number,,,,,,,,,,
tob_cigars_amt_d27,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d27,,,number,,,,,,,,,,
tob_hookah_amt_d27,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d27,,,number,,,,,,,,,,
tob_other_names_d27,nicotine,,text,Names other tobacco used - d27,,,,,,,,,,,,,
tob_other_amt_d27,nicotine,,text,Amount of other tobacco used - d27,,,number,,,,,,,,,,
tob_cigtts_amt_d28,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d28,,,number,,,,,,,,,,
tob_ecigs_amt_d28,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d28,,,number,,,,,,,,,,
tob_chew_amt_d28,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d28,,,number,,,,,,,,,,
tob_cigars_amt_d28,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d28,,,number,,,,,,,,,,
tob_hookah_amt_d28,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d28,,,number,,,,,,,,,,
tob_other_names_d28,nicotine,,text,Names other tobacco used - d28,,,,,,,,,,,,,
tob_other_amt_d28,nicotine,,text,Amount of other tobacco used - d28,,,number,,,,,,,,,,
tob_cigtts_amt_d29,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d29,,,number,,,,,,,,,,
tob_ecigs_amt_d29,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d29,,,number,,,,,,,,,,
tob_chew_amt_d29,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d29,,,number,,,,,,,,,,
tob_cigars_amt_d29,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d29,,,number,,,,,,,,,,
tob_hookah_amt_d29,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d29,,,number,,,,,,,,,,
tob_other_names_d29,nicotine,,text,Names other tobacco used - d29,,,,,,,,,,,,,
tob_other_amt_d29,nicotine,,text,Amount of other tobacco used - d29,,,number,,,,,,,,,,
tob_cigtts_amt_d30,nicotine,,text,Amount of cigarettes used (1 unit = 1cig) - d30,,,number,,,,,,,,,,
tob_ecigs_amt_d30,nicotine,,text,Amount of e-cigs used (1 unit = 15 puffs or 10 mins of smoking) - d30,,,number,,,,,,,,,,
tob_chew_amt_d30,nicotine,,text,Amount of chew used (1 unit = 1 pinch or 1 dip) - d30,,,number,,,,,,,,,,
tob_cigars_amt_d30,nicotine,,text,Amount of cigars used (1 unit = 1 cigar) - d30,,,number,,,,,,,,,,
tob_hookah_amt_d30,nicotine,,text,Amount of hookah used (1 unit = 1 drag or 1 puff) - d30,,,number,,,,,,,,,,
tob_other_names_d30,nicotine,,text,Names other tobacco used - d30,,,,,,,,,,,,,
tob_other_amt_d30,nicotine,,text,Amount of other tobacco used - d30,,,number,,,,,,,,,,
pid_can,cannabis,,text,PID is the five digit pin + entry date + random number,,,,,,y,,,,,,,
five_digit_can,cannabis,,text,Participant 5 digit pin,,,,,,y,,,,,,,
cohort_can,cannabis,,text,Cohort,,,,,,,,,,,,,
scan_flw_g_d01,cannabis,,text,Grams of study cannabis flower used (1 unit = 1 gram)  -  d001,,,number,,,,,,,,,,
ncan_flw_g_d01,cannabis,,text,Grams of non-study cannabis flower used (1 unit = 1 gram) - d01,,,number,,,,,,,,,,
ncan_flwthc_perc_d01,cannabis,,text,Potency of non-study cannabis flower (THC) used (0-35%) - d01,,,number,,,,,,,,,,
ncan_flwcbd_perc_d01,cannabis,,text,Potency of non-study cannabis flower (CBD) used (0-35%) - d01,,,number,,,,,,,,,,
scan_edithc_mg_d01,cannabis,,text,Milligrams of study cannabis edibles (THC) used (1 unit = 1 mg) - d01,,,number,,,,,,,,,,
scan_edicbd_mg_d01,cannabis,,text,Milligrams of study cannabis edibles (CBD) used (1 unit = 1 mg) - d01,,,number,,,,,,,,,,
ncan_edithc_mg_d01,cannabis,,text,Milligrams of non-study cannabis edibles (THC) used (1 unit = 1 mg) - d01,,,number,,,,,,,,,,
ncan_edicbd_mg_d01,cannabis,,text,Milligrams of non-study cannabis edibles (CBD) used (1 unit = 1 mg) - d01,,,number,,,,,,,,,,
ncan_dab_hits_d01,cannabis,,text,Hits of non-study cannabis concentrates used (1 unit = 1 dab/drag/hit) - d01,,,number,,,,,,,,,,
ncan_dabthc_perc_d01,cannabis,,text,Potency of non-study concentrate (THC) used (0-100%) - d01,,,number,,,,,,,,,,
ncan_dabcbd_perc_d01,cannabis,,text,Potency of non-study concentrate (CBD) used (0-100%) - d01,,,number,,,,,,,,,,
ncan_patch_noyes_d01,cannabis,,text,Cannabis patch used (No-0/Yes-1) - d01,,,number,,,,,,,,,,
ncan_other_names_d01,cannabis,,text,Names of other cannabis used - d01,,,,,,,,,,,,,
scan_flw_g_d02,cannabis,,text,Grams of study cannabis flower used (1 unit = 1 gram)  -  d002,,,number,,,,,,,,,,
ncan_flw_g_d02,cannabis,,text,Grams of non-study cannabis flower used (1 unit = 1 gram) - d02,,,number,,,,,,,,,,
ncan_flwthc_perc_d02,cannabis,,text,Potency of non-study cannabis flower (THC) used (0-35%) - d02,,,number,,,,,,,,,,
